cluster_collection	cluster_title	canonical	canonical_era	canonical_archivedAt	canonical_local_imgs	canonical_ext_imgs	canonical_prose	decision_mode	original_rule_pick	rule_changed	demoted	demoted_details	risky_flags	reason
recipes	rhubarb jam recipes	rhubarb-jam-recipes.md	blogger	2024-10-14T02:55:45Z	1	0	25917	era-candidate	rhubarb-jam-recipes.md	no	rhubarb-jam-recipes-2.md;rhubarb-jam-recipes-3.md	rhubarb-jam-recipes-2.md[era=static,archivedAt=2008-10-14T07:56:23Z,local=0,ext=0,prose=27202] | rhubarb-jam-recipes-3.md[era=static,archivedAt=2001-01-24T10:50:00Z,local=0,ext=0,prose=27832]		mode=era-candidate; era=blogger; prose=25917 (93% of max 27832)
recipes	rhubarb muffin recipes	rhubarb-muffin-recipes.md	blogger	2024-08-07T18:30:15Z	1	0	10715	era-candidate	rhubarb-muffin-recipes.md	no	rhubarb-muffin-recipes-2.md	rhubarb-muffin-recipes-2.md[era=static,archivedAt=2008-10-16T04:31:16Z,local=0,ext=0,prose=11310]		mode=era-candidate; era=blogger; prose=10715 (95% of max 11310)
recipes	rhubarb muffins	rhubarb-muffins.md	drupal	2020-02-23T22:01:10Z	2	0	10728	era-candidate	rhubarb-muffins.md	no	rhubarb-muffins-2.md	rhubarb-muffins-2.md[era=drupal,archivedAt=2010-06-30T13:35:05Z,local=2,ext=0,prose=10728]		mode=era-candidate; era=drupal; archivedAt=2020-02-23T22:01:10Z; prose=10728 (100% of max 10728); local_imgs=2, ext_imgs=0
recipes	rhubarb pie recipes	rhubarb-pie-recipes.md	blogger	2024-10-14T01:10:22Z	1	0	50357	era-candidate	rhubarb-pie-recipes.md	no	rhubarb-pie-recipes-2.md;rhubarb-pie-recipes-3.md	rhubarb-pie-recipes-2.md[era=static,archivedAt=2008-11-07T22:16:26Z,local=0,ext=0,prose=51897] | rhubarb-pie-recipes-3.md[era=static,archivedAt=2001-06-24T07:16:43Z,local=0,ext=0,prose=52711]		mode=era-candidate; era=blogger; prose=50357 (96% of max 52711)
recipes	rhubarb pudding recipes	rhubarb-pudding-recipes.md	blogger	2024-09-20T20:05:05Z	1	0	19164	era-candidate	rhubarb-pudding-recipes.md	no	rhubarb-pudding-recipes-2.md	rhubarb-pudding-recipes-2.md[era=static,archivedAt=2008-10-15T04:23:46Z,local=0,ext=0,prose=19978]		mode=era-candidate; era=blogger; prose=19164 (96% of max 19978)
recipes	rhubarb salad recipes	rhubarb-salad-recipes.md	blogger	2024-06-22T00:21:06Z	1	0	3131	era-candidate	rhubarb-salad-recipes.md	no	rhubarb-salad-recipes-2.md	rhubarb-salad-recipes-2.md[era=static,archivedAt=2008-10-16T04:31:21Z,local=0,ext=0,prose=3669]		mode=era-candidate; era=blogger; prose=3131 (85% of max 3669)
recipes	rhubarb sauce recipes	rhubarb-sauce-recipes.md	blogger	2024-09-20T19:16:45Z	1	0	37489	era-candidate	rhubarb-sauce-recipes.md	no	rhubarb-sauce-recipes-2.md	rhubarb-sauce-recipes-2.md[era=static,archivedAt=2008-10-15T04:23:51Z,local=0,ext=0,prose=39239]		mode=era-candidate; era=blogger; prose=37489 (96% of max 39239)
recipes	rhubarb soup recipes	rhubarb-soup-recipes-2.md	static	2008-10-17T22:51:46Z	0	0	1623	prose-richest	rhubarb-soup-recipes.md	yes	rhubarb-soup-recipes.md	rhubarb-soup-recipes.md[era=blogger,archivedAt=2024-09-20T21:09:40Z,local=1,ext=0,prose=1283]	rule-change: refined rule picks rhubarb-soup-recipes-2.md; original era-priority would pick rhubarb-soup-recipes.md ;; loser rhubarb-soup-recipes.md has 1 local imgs vs canonical 0	mode=prose-richest; era=static; prose=1623 (100% of max 1623)
recipes	rhubarb tart recipes	rhubarb-tart-recipes.md	blogger	2024-08-07T18:23:50Z	1	0	12681	era-candidate	rhubarb-tart-recipes.md	no	rhubarb-tart-recipes-2.md	rhubarb-tart-recipes-2.md[era=static,archivedAt=2008-10-16T04:31:26Z,local=0,ext=0,prose=13179]		mode=era-candidate; era=blogger; prose=12681 (96% of max 13179)
recipes	rhubarb wine	rhubarb-wine.md	blogger	2024-09-20T21:07:36Z	1	0	24547	era-candidate	rhubarb-wine.md	no	rhubarb-wine-2.md	rhubarb-wine-2.md[era=drupal,archivedAt=2020-02-01T02:18:36Z,local=0,ext=0,prose=24590]		mode=era-candidate; era=blogger; prose=24547 (100% of max 24590)
